,采集时间,温度平均值,湿度平均值
0,2021-04-27 19:00:00,23.3707,45.60758333333333
1,2021-04-27 19:10:00,23.363613445378153,45.74131092436975
2,2021-04-27 19:20:00,23.352171717171718,45.56649831649832
3,2021-04-27 19:30:00,23.346466666666668,45.523666666666664
4,2021-04-27 19:40:00,23.32973333333333,45.52826666666667
5,2021-04-27 19:50:00,23.309695945945947,45.58886824324325
6,2021-04-27 20:00:00,23.284100000000002,45.69786666666667
7,2021-04-27 20:10:00,23.247116666666667,45.78015
8,2021-04-27 20:20:00,23.2066,45.85543333333334
9,2021-04-27 20:30:00,23.16908026755853,45.97127090301003
10,2021-04-27 20:40:00,23.111066666666666,46.07575
11,2021-04-27 20:50:00,23.0481,46.26246666666667
12,2021-04-27 21:00:00,22.99530201342282,46.406661073825504
13,2021-04-27 21:10:00,22.925766666666668,46.57763333333334
14,2021-04-27 21:20:00,22.862658862876255,46.727976588628756
15,2021-04-27 21:30:00,22.79095,46.918216666666666
16,2021-04-27 21:40:00,22.716120401337793,47.10403010033445
17,2021-04-27 21:50:00,22.63735,47.25968333333333
18,2021-04-27 22:00:00,22.57076923076923,47.39198996655519
19,2021-04-27 22:10:00,22.490622895622895,47.492154882154885
20,2021-04-27 22:20:00,22.41861204013378,47.65371237458194
21,2021-04-27 22:30:00,22.341275167785234,47.79796979865772
22,2021-04-27 22:40:00,22.27765,48.018233333333335
23,2021-04-27 22:50:00,22.197986577181208,48.34647651006711
24,2021-04-27 23:00:00,22.1190404040404,48.67176767676767
25,2021-04-27 23:10:00,22.032233333333334,48.843583333333335
26,2021-04-27 23:20:00,21.940919732441472,48.89882943143812
27,2021-04-27 23:30:00,21.85191919191919,49.13547138047138
28,2021-04-27 23:40:00,21.753615221987314,49.32334038054969
29,2021-04-27 23:50:00,21.66374581939799,49.50433110367893
30,2021-04-28 00:00:00,21.572916666666668,49.827616666666664
31,2021-04-28 00:10:00,21.492390572390573,50.22609427609427
32,2021-04-28 00:20:00,21.40065,50.382333333333335
33,2021-04-28 00:30:00,21.2962,50.6348
34,2021-04-28 00:40:00,21.206616666666665,50.76038333333333
35,2021-04-28 00:50:00,21.1176,51.01331666666666
36,2021-04-28 01:00:00,21.015050000000002,51.500750000000004
37,2021-04-28 01:10:00,20.93742474916388,51.61966555183947
38,2021-04-28 01:20:00,20.851783333333334,51.72923333333333
39,2021-04-28 01:30:00,20.767408026755852,51.996672240802674
40,2021-04-28 01:40:00,20.675266666666666,52.40925
41,2021-04-28 01:50:00,20.565183333333334,52.7111
42,2021-04-28 02:00:00,20.48538333333333,52.60216666666667
43,2021-04-28 02:10:00,20.38155,52.874300000000005
44,2021-04-28 02:20:00,20.279633333333333,53.206133333333334
45,2021-04-28 02:30:00,20.1796,53.51101666666667
46,2021-04-28 02:40:00,20.084516666666666,53.731449999999995
47,2021-04-28 02:50:00,19.977183333333333,54.00026666666667
48,2021-04-28 03:00:00,19.905466666666666,54.20615
49,2021-04-28 03:10:00,19.831316239316237,54.610017094017095
50,2021-04-28 03:20:00,19.719133333333332,54.98345
51,2021-04-28 03:30:00,19.618566666666666,55.063583333333334
52,2021-04-28 03:40:00,19.502909698996657,55.307424749163886
53,2021-04-28 03:50:00,19.39525,55.63686666666667
54,2021-04-28 04:00:00,19.303266666666666,55.856899999999996
55,2021-04-28 04:10:00,19.207759197324414,56.003913043478256
56,2021-04-28 04:20:00,19.127716666666664,56.13346666666667
57,2021-04-28 04:30:00,19.024556113902847,56.296046901172524
58,2021-04-28 04:40:00,18.914230769230766,56.72570234113712
59,2021-04-28 04:50:00,18.8202,57.099916666666665
60,2021-04-28 05:00:00,18.718366666666668,57.46405
61,2021-04-28 05:10:00,18.61008389261745,57.68340604026845
62,2021-04-28 05:20:00,18.536183333333334,57.988899999999994
63,2021-04-28 05:30:00,18.466466666666665,58.16941666666667
64,2021-04-28 05:40:00,18.392541806020066,58.52096989966555
65,2021-04-28 05:50:00,18.30561666666667,58.9657
66,2021-04-28 06:00:00,18.230249999999998,59.21941666666667
67,2021-04-28 06:10:00,18.148745819397995,59.63225752508361
68,2021-04-28 06:20:00,18.067483333333332,59.74975
69,2021-04-28 06:30:00,18.002842809364548,59.93214046822742
70,2021-04-28 06:40:00,17.935059021922427,60.188263069139964
71,2021-04-28 06:50:00,17.87979933110368,60.359765886287626
72,2021-04-28 07:00:00,17.827583333333333,60.512616666666666
73,2021-04-28 07:10:00,17.769714285714286,60.66487394957983
74,2021-04-28 07:20:00,17.751516666666667,60.675850000000004
75,2021-04-28 07:30:00,17.750050675675677,60.65459459459459
76,2021-04-28 07:40:00,17.74285234899329,60.82105704697987
77,2021-04-28 07:50:00,17.752533333333336,60.81798333333334
78,2021-04-28 08:00:00,17.776133333333334,60.79788333333334
79,2021-04-28 08:10:00,17.813478260869562,60.67317725752508
80,2021-04-28 08:20:00,17.844316666666668,60.56641666666666
81,2021-04-28 08:30:00,17.874483333333334,60.54756666666667
82,2021-04-28 08:40:00,17.926968174204355,61.432043551088775
83,2021-04-28 08:50:00,17.986036789297657,61.876705685618724
84,2021-04-28 09:00:00,18.06344481605351,61.68476588628762
85,2021-04-28 09:10:00,18.146371237458194,61.92158862876254
86,2021-04-28 09:20:00,18.235551839464883,61.47354515050167
87,2021-04-28 09:30:00,18.3428,60.720200000000006
88,2021-04-28 09:40:00,18.472633333333334,60.89411666666667
89,2021-04-28 09:50:00,18.607453936348406,60.55718592964824
90,2021-04-28 10:00:00,18.77031772575251,60.29272575250837
91,2021-04-28 10:10:00,19.043083333333335,60.4868
92,2021-04-28 10:20:00,19.18313725490196,60.12425490196078
93,2021-04-28 10:30:00,19.31901337792642,58.94284280936455
94,2021-04-28 10:40:00,19.522916666666667,57.632933333333334
95,2021-04-28 10:50:00,19.75868333333333,56.582183333333326
96,2021-04-28 11:00:00,19.972826086956523,55.634749163879604
97,2021-04-28 11:10:00,20.20655,54.84811666666667
98,2021-04-28 11:20:00,20.460655462184874,54.220084033613446
99,2021-04-28 11:30:00,20.723743676222597,53.67664418212479
100,2021-04-28 11:40:00,20.967658862876252,53.303177257525086
101,2021-04-28 11:50:00,21.25975,52.6143
102,2021-04-28 12:00:00,21.525752508361204,52.09596989966555
103,2021-04-28 12:10:00,21.811049999999998,51.36663333333333
104,2021-04-28 12:20:00,22.105883333333335,50.4533
105,2021-04-28 12:30:00,22.36846153846154,49.995702341137125
106,2021-04-28 12:40:00,22.676033333333336,48.875883333333334
107,2021-04-28 12:50:00,22.979661590524532,47.96598984771574
108,2021-04-28 13:00:00,23.298966666666665,47.186299999999996
109,2021-04-28 13:10:00,23.596133333333334,46.24613333333333
110,2021-04-28 13:20:00,23.9157,45.45316666666667
111,2021-04-28 13:30:00,24.20746644295302,44.61880872483222
112,2021-04-28 13:40:00,24.50975,43.880316666666666
113,2021-04-28 13:50:00,24.782408026755853,42.529983277591974
114,2021-04-28 14:00:00,25.05574074074074,42.21979797979798
115,2021-04-28 14:10:00,25.323633333333333,41.51943333333333
116,2021-04-28 14:20:00,25.608549999999997,41.05335
117,2021-04-28 14:30:00,25.8721,40.544266666666665
118,2021-04-28 14:40:00,26.072400000000002,39.83338333333333
119,2021-04-28 14:50:00,26.31660535117057,38.87138795986622
120,2021-04-28 15:00:00,26.535983333333334,38.42486666666667
121,2021-04-28 15:10:00,26.793076923076924,39.048612040133776
122,2021-04-28 15:20:00,26.994783333333334,38.65828333333334
123,2021-04-28 15:30:00,27.238500000000002,38.924483333333335
124,2021-04-28 15:40:00,27.479598662207355,38.76804347826087
125,2021-04-28 15:50:00,27.70088333333333,38.80961666666667
126,2021-04-28 16:00:00,27.862750000000002,38.03278333333333
127,2021-04-28 16:10:00,28.05777591973244,38.15792642140468
128,2021-04-28 16:20:00,28.245501672240806,38.13994983277592
129,2021-04-28 16:30:00,28.40160535117057,38.130869565217395
130,2021-04-28 16:40:00,28.5514,38.03423333333333
131,2021-04-28 16:50:00,28.728350000000002,37.88399999999999
132,2021-04-28 17:00:00,28.86321070234114,37.75638795986622
133,2021-04-28 17:10:00,28.97747491638796,37.62904682274248
134,2021-04-28 17:20:00,29.064316666666667,37.53038333333333
135,2021-04-28 17:30:00,29.140721476510066,37.41164429530201
136,2021-04-28 17:40:00,29.19956666666667,37.34753333333333
137,2021-04-28 17:50:00,29.242633333333337,37.2741
138,2021-04-28 18:00:00,29.26891666666667,37.196016666666665
